company_name,year,total_assets,total_liabilities,short_term_borrowings,long_term_borrowings,revenue,ebit,net_profit,interest_expense,operating_cash_flow,default,company,company_short,total_debt,debt_to_assets,interest_coverage,ocf_to_debt,roa,debt_to_assets_woe,interest_coverage_woe,ocf_to_debt_woe,roa_woe,pd_statistical,pd_financial,industry,industry_risk_pd,pd_final,credit_score,pd_5y_adj
TATA CONSULTANCY SERVICES LIMITED,2021,109016,109016,0,5077,135963.0,40310,30960,537,33822,0,TATA CONSULTANCY SERVICES LIMITED,TCS,5077,0.04657114551992368,75.06517690875233,6.6618081544219026,0.28399500990680265,0,0.38566248081198456,0,0,0.27529496667904024,0.32802973388080514,IT Services,0.01,0.24332988022393817,75.66701197760618,0.8354448941096554
TATA CONSULTANCY SERVICES LIMITED,2022,121134,121134,0,0,160341.0,46245,38187,486,36127,0,TATA CONSULTANCY SERVICES LIMITED,TCS,0,0.0,95.15432098765432,0.0,0.31524592599930656,0,0.38566248081198456,0,0,0.27529496667904024,0.2941035384131719,IT Services,0.01,0.22975940203688486,77.02405979631152,0.8143937151752892
TATA CONSULTANCY SERVICES LIMITED,2023,119637,119637,0,0,190354.0,50997,39106,695,37029,0,TATA CONSULTANCY SERVICES LIMITED,TCS,0,0.0,73.37697841726619,0.0,0.32687212150087347,0,0.38566248081198456,0,0,0.27529496667904024,0.2954642589467656,IT Services,0.01,0.23030369025032232,76.96963097496776,0.8152771164980046
ITC LIMITED,2021,71580,71580,0,5,45485.0,15590,13032,59,11494,0,ITC LIMITED,ITC,5,6.985191394244202e-05,264.23728813559325,2298.8,0.1820620284995809,0,0.0,0,0,0.2919299203954455,0.1399516595008005,FMCG,0.02,0.1767526319584984,82.32473680415015,0.7108194486153846
ITC LIMITED,2022,75092,75092,1,5,56341.0,18893,15058,61,14808,0,ITC LIMITED,ITC,6,7.990198689607415e-05,309.72131147540983,2468.0,0.20052735311351408,0,0.0,0,0,0.2919299203954455,0.12654463049697492,FMCG,0.02,0.1713898203569682,82.86101796430319,0.6982095884943377
ITC LIMITED,2023,82262,82262,1,3,66043.0,23981,18753,74,17912,0,ITC LIMITED,ITC,4,4.8625124601881794e-05,324.06756756756755,4478.0,0.2279667404147723,0,0.0,0,0,0.2919299203954455,3.4546618093776015e-05,FMCG,0.02,0.12078578680541573,87.92142131945843,0.556350942824746
LARSEN AND TOUBRO LIMITED,2021,5066,5066,0,472,4964.0,938,673,44,1267,0,LARSEN AND TOUBRO LIMITED,L&T,472,0.09317015396762732,21.318181818181817,2.684322033898305,0.1328464271614686,0,0.0,0,0,0.2919299203954455,0.36474355744622433,Engineering,0.06,0.27466939113666794,72.5330608863332,0.8768798961695939
LARSEN AND TOUBRO LIMITED,2022,6077,6077,0,448,5874.0,1319,918,39,899,0,LARSEN AND TOUBRO LIMITED,L&T,448,0.07372058581536943,33.82051282051282,2.0066964285714284,0.15106137896988645,0,0.0,0,0,0.2919299203954455,0.3501864556385014,Engineering,0.06,0.2688465504135788,73.11534495864211,0.8698874927681846
LARSEN AND TOUBRO LIMITED,2023,8184,8184,0,424,0.0,1644,1153,40,1267,0,LARSEN AND TOUBRO LIMITED,L&T,424,0.05180840664711633,41.1,2.9882075471698113,0.1408846529814272,0,0.0,0,0,0.2919299203954455,0.3341024248977109,Engineering,0.06,0.2624129381172626,73.75870618827373,0.8617999085217943
TATA STEEL LIMITED,2021,180491,180491,985,31545,84133.0,27124,17078,4541,37555,0,TATA STEEL LIMITED,TATA STEEL,32530,0.18023059321517415,5.973133670997577,1.1544727943436828,0.0946196763273515,0,0.0,0,0,0.2919299203954455,0.42765143066617883,Steel,0.1,0.30783254042464975,69.21674595753503,0.9112528804939171
TATA STEEL LIMITED,2022,221986,221986,11985,20291,129021.0,51130,33011,2792,41986,0,TATA STEEL LIMITED,TATA STEEL,32276,0.1453965565396016,18.313037249283667,1.3008427314413187,0.14870757615345112,0,0.0,0,0,0.2919299203954455,0.40212285154675675,Steel,0.1,0.2976211087768809,70.2378891223119,0.9016037857052583
TATA STEEL LIMITED,2023,242696,242696,7298,31569,142913.0,28271,14685,3975,13506,0,TATA STEEL LIMITED,TATA STEEL,38867,0.1601468503807232,7.112201257861635,0.3474927316232279,0.06050779576095197,0,0.0,0,0,0.2919299203954455,0.41336186622038407,Steel,0.1,0.3021167146463319,69.7883285353668,0.9059489182694374
VODAFONE IDEA LIMITED,2021,203131,203131,73,157416,41673.0,16428,-46294,17992,15126,1,VODAFONE IDEA LIMITED,VODAFONE IDEA,157489,0.7753075601459157,0.9130724766562917,0.09604480312910743,-0.22790219119681387,0,0.0,0,0,0.2919299203954455,0.8508156296492178,Telecom,0.18,0.4930982200178653,50.69017799821347,0.9921510665134341
VODAFONE IDEA LIMITED,2022,193931,193931,15123,175951,38221.0,15369,-28237,20973,16861,1,VODAFONE IDEA LIMITED,VODAFONE IDEA,191074,0.9852679561287262,0.7327993134029467,0.08824329840794666,-0.14560333314426266,0,0.0,0,0,0.2919299203954455,0.9999970837992997,Telecom,0.18,0.5527708016778982,44.72291983221018,0.9975804491994272
VODAFONE IDEA LIMITED,2023,207273,207273,12530,189290,41917.0,16218,-29308,23344,18366,1,VODAFONE IDEA LIMITED,VODAFONE IDEA,201820,0.9736917012828492,0.6947395476353667,0.09100188286592013,-0.1413980595639567,0,0.0,0,0,0.2919299203954455,0.9917747551653753,Telecom,0.18,0.5494818702243284,45.05181297756716,0.997394350570723
